to,n,from
third grade teacher,3,third grade teacher
carpenter,1,timmerman
trainee,1,tirocinante
internship,1,tirocinio
holder,1,titolare
single owner,2,titolare unico
headline,1,titular
servant,1,tjener
toolmaker,1,toolmaker
surveyor,1,topografo
surveyor,1,topógrafo
tour guide,2,tour guide
tour leader,2,tour leader
tour manager,2,tour manager
tour operator,2,tour operator
social worker,2,trabajadora social
trade marketing,2,trade marketing
trade marketing manager,3,trade marketing manager
trader,1,trader
translator,1,traductrice
traffic coordinator,2,traffic coordinator
traffic manager,2,traffic manager
trainee,1,trainee
trainee accountant,2,trainee accountant
trainee engineer,2,trainee engineer
trainee lawyer,2,trainee lawyer
trainee solicitor,2,trainee solicitor
trainer,1,trainer
training,1,training
training consultant,2,training consultant
training coordinator,2,training coordinator
training facilitator,2,training facilitator
training manager,2,training manager
training officer,2,training officer
training specialist,2,training specialist
transaction coordinator,2,transaction coordinator
transcriptionist,1,transcriptionist
translator,1,translator
transport manager,2,transport manager
transport planner,2,transport planner
transportation,1,transportation
transportation coordinator,2,transportation coordinator
transportation manager,2,transportation manager
transportation specialist,2,transportation specialist
transportation supervisor,2,transportation supervisor
travel agent,2,travel agent
travel consultant,2,travel consultant
travel manager,2,travel manager
treasurer,1,treasurer
treasury analyst,2,treasury analyst
treasury manager,2,treasury manager
trial attorney,2,trial attorney
truck driver,2,truck driver
trustee,1,trustee
tutor,1,tutor
tv producer,2,tv producer
ui designer,2,ui designer
ui developer,2,ui developer
implementer,1,uitvoerder
united nations,1,un
undergraduate engineer,2,undergraduate engineer
undergraduate research assistant,3,undergraduate research assistant
undergraduate researcher,2,undergraduate researcher
undergraduate student,2,undergraduate student
undergraduate student researcher,3,undergraduate student researcher
undergraduate teaching assistant,3,undergraduate teaching assistant
underwriter,1,underwriter
underwriting assistant,2,underwriting assistant
underwriting manager,2,underwriting manager
unemployed,1,unemployed
unit manager,2,unit manager
unit secretary,2,unit secretary
university lecturer,2,university lecturer
linux system administrator,3,unix system administrator
company owner,2,unternehmensinhaber
user experience designer,3,user experience designer
usher,1,usher
ui designer,2,ux designer
expert,1,uzman
vice president,1,v.p.
stock clerk,2,vakkenvuller
election,1,valet
validation engineer,2,validation engineer
various,1,various
various positions,2,various positions
ceo,1,vd
sales,1,vendas
salesman,1,vendedor
external salesman,2,vendedor externo
technical sales,2,vendedor técnico
salesman,1,vendedora
seller,1,vendeur
salesman,1,vendeuse
seller,1,venditore
seller,1,vendor
sales,1,ventas
sales manager,2,verkaufsleiter
sales advisor,2,verkoopadviseur
sales employee,2,verkoopmedewerker
sales employee,2,verkoopmedewerkster
salesman,1,verkoopster
seller,1,verkoper
nurse,1,verpleegkundige
representative,1,vertegenwoordiger
distribution,1,vertrieb
nurse,2,verzorgende
nurse,2,verzorgende ig
site manager,2,vestigingsmanager
veterinarian,1,veterinarian
veterinary,1,veterinario
veterinary assistant,2,veterinary assistant
veterinary surgeon,2,veterinary surgeon
veterinary technician,2,veterinary technician
vice president,2,vice-president
vice chairman,2,vice chairman
vice general manager,3,vice general manager
vice president,2,vice president
vice president business development,4,vice president business development
vice president of finance,4,vice president finance
vice president human resources,4,vice president human resources
vice president marketing,3,vice president marketing
vice president of business development,5,vice president of business development
vice president of finance,4,vice president of finance
vice president of operations,4,vice president of operations
vice president of sales,4,vice president of sales
vice president operations,3,vice president operations
vice president of sales,4,vice president sales
vice principal,2,vice principal
vice president,2,vicepresidente
video editor,2,video editor
video producer,2,video producer
videographer,1,videographer
vigilant,1,vigilante
security guard,2,vigilante de seguridad
virtual assistant,2,virtual assistant
visiting assistant professor,3,visiting assistant professor
visiting faculty,2,visiting faculty
visiting lecturer,2,visiting lecturer
visiting phd student,3,visiting phd student
visiting professor,2,visiting professor
visiting researcher,2,visiting researcher
visiting scholar,2,visiting scholar
visiting scientist,2,visiting scientist
visual artist,2,visual artist
visual designer,2,visual designer
visual merchandiser,2,visual merchandiser
visual merchandising manager,3,visual merchandising manager
voice over artist,3,voice over artist
volunteer,1,volunteer
volunteer coordinator,2,volunteer coordinator
volunteer work,2,volunteer work
chairman,1,voorzitter
vice president,1,vp
vp business development,3,vp business development
vp finance,2,vp finance
vp marketing,2,vp marketing
vp marketing,2,vp of marketing
vp of operations,3,vp of operations
vp of sales,3,vp of sales
vp operations,2,vp operations
vp sales,2,vp sales
vp sales and marketing,4,vp sales and marketing
volunteer,1,vrijwilliger
waiter,1,waiter
waitress,1,waitress
warehouse,1,warehouse
warehouse assistant,2,warehouse assistant
warehouse associate,2,warehouse associate
warehouse employee,2,warehouse employee
warehouse manager,2,warehouse manager
warehouse operative,2,warehouse operative
warehouse supervisor,2,warehouse supervisor
warehouse worker,2,warehouse worker
web analyst,2,web analyst
web application developer,3,web application developer
web designer,2,web designer
web developer,2,web developer
web development intern,3,web development intern
web editor,2,web editor
web manager,2,web manager
webmaster,1,web master
web applications,2,web programmer
web project manager,3,web project manager
web designer,2,webdesigner
webmaster,1,webmaster
website developer,2,website developer
welder,1,welder
employee,1,werknemer
working student,2,werkstudent
planner,1,werkvoorbereider
western regional sales manager,4,western regional sales manager
windows system administrator,3,windows system administrator
